ticks, muscleMass, averageAnabolic, averageCatabolic 
1,1613.0049965897451,59.12608520810969,56.58068119499208 
2,1614.3152003291186,54.581264064944875,51.70517148105836 
3,1615.3360378863229,50.29032501720035,48.16114842315256 
4,1615.3189873182218,47.03267934647214,46.95998829006614 
5,1614.6934128538671,45.52421972922535,46.62154804386813 
6,1616.0375489739697,60.374789976834634,57.043758609117816 
7,1617.6866901654905,55.71114225585093,52.05004005379638 
8,1619.1508376831118,51.28086694912395,48.23507479825736 
9,1619.309172134801,47.480552535304525,47.035224966175235 
10,1618.7810781862452,45.80869076834429,46.69980847271558 
11,1620.2017523555164,60.65305171036192,57.14976339088374 
12,1621.8958711171563,55.9789204205377,52.20639446080599 
13,1623.4792951058016,51.521543812211405,48.23522169722875 
14,1623.7664821291867,47.68039436998358,47.00225600000081 
15,1623.2166329048619,45.738712751770365,46.667776870911396 
16,1624.6698368482655,60.82141266133147,57.262103576330674 
17,1626.4748884503408,56.123921259817045,52.15039838181859 
18,1628.1223163381062,51.548922352180945,48.1550757774685 
19,1628.3701353322256,47.59007241392161,46.98477371199064 
20,1627.8609829626419,45.76702920001791,46.624591727069586 
21,1629.5301239406526,63.93208989137077,59.678854680856965 
22,1631.5545118007717,59.166272306409326,54.49159824667429 
23,1633.7557253328162,54.52363846510307,49.833495965775 
24,1635.0916568427806,50.171388955536294,47.40602702575295 
25,1634.9829691782888,46.788098100898274,46.844742605488406 
26,1636.704207017201,61.56249970481757,57.23173300665954 
27,1638.7508413591713,56.8646387253603,52.230220394406466 
28,1640.5212181921581,52.34946911053858,48.558531599190935 
29,1641.094406669251,48.58517506825757,47.26144445960515 
30,1640.7385429122965,46.36880289915665,46.87244159347975 
31,1642.3724054467,62.108777840060384,58.01114330818455 
32,1644.3593786388608,57.396088976046755,52.91007941015064 
33,1646.3454584657973,52.81667744768324,48.65743691174133 
34,1647.016792953073,48.5807962722021,47.11875190849068 
35,1646.6041192230161,46.11962429214318,46.75485507215209 
36,1648.2539403711985,63.4225811801227,59.16207788013996 
37,1650.255701347957,58.69466777017212,54.041924874052114 
38,1652.4369703685911,54.110386759485294,49.45616492195371 
39,1653.5260848060543,49.760905286856925,47.43678673634019 
40,1653.3021780525683,46.74663728477783,46.97569308467217 
41,1655.0176764282587,62.50575035587696,58.12824384943269 
42,1657.0977628228227,57.794158405436534,53.0239347217598 
43,1659.0976762347782,53.212961115702605,48.92649464704775 
44,1659.834336054805,49.07582160088436,47.40330894251449 
45,1659.5369639059181,46.61357565008753,46.966577926122405 
46,1661.2419521890997,63.41153910604777,58.978598131488134 
47,1663.2842602134056,58.70134802640095,53.9153671150945 
48,1665.4186239428684,54.12996572893327,49.50880779348292 
49,1666.5811205971847,49.933392312316954,47.4282077060949 
50,1666.4782330580801,46.956004696530556,46.93554199684402 
51,1668.2290044926676,61.71411531000475,57.304441435174745 
52,1670.2889178227108,57.04845100668742,52.365957898329356 
53,1672.1788648107915,52.57807052011875,48.54877734276689 
54,1672.8513749557687,48.66709754380236,47.1689039564016 
55,1672.4165925904636,46.189470003091856,46.838531768189505 
56,1674.0051610825276,62.18067407703276,58.1768381503068 
57,1675.9337857051282,57.48768557230469,53.106989353634255 
58,1677.9425041966504,52.96039258143932,48.74437372919116 
59,1678.6933695699809,48.79309810169847,47.17970451268049 
60,1678.243219721168,46.12446628263545,46.815778628466234 
61,1679.8184113136733,62.238108016380274,58.26918365524077 
62,1681.7112402020703,57.545638258459256,53.23618202644022 
63,1683.6236297125656,53.001409562420235,48.9614027869653 
64,1684.3870159333674,48.86781609901198,47.21869003672224 
65,1684.0293528527932,46.28946508493885,46.81200517296565 
66,1685.590567566004,61.31787239399323,57.3877925317765 
67,1687.4827640619324,56.66214828455153,52.383667633705976 
68,1689.259240811584,52.177149934226456,48.42261433278383 
69,1689.633404699279,48.22195036469693,47.28870988977523 
70,1689.186853008227,46.23192611278749,46.895159658969334 
71,1690.5812291520292,59.863063397826345,56.3899316343268 
72,1692.2712722772171,55.272145082926265,51.506513207525636 
73,1693.6413744407726,50.91686660738998,48.02190462871454 
74,1693.7176575633769,47.37278233394873,47.044706887654236 
75,1693.1349458108368,45.8182083031657,46.772555788866676 
76,1694.4902246244433,60.306190637067665,56.93650549506684 
77,1696.1130510077674,55.67617696064176,52.051989495043 
78,1697.4032682293355,51.249159584711975,48.50266511254668 
79,1697.716397598626,47.74674695555909,46.99614183728402 
80,1697.3118994789288,45.94852894020862,46.61781068361623 
81,1698.7706981887154,60.78740797652696,57.112101888652724 
82,1700.4768807185014,56.22963837834661,52.34450030517964 
83,1702.114596831208,52.03764642418798,48.56523569392131 
84,1702.7383730490417,48.4364711896378,47.08542402112531 
85,1702.3298603121298,46.108551387333854,46.75792087372791 
86,1703.9676971032038,62.63128873298845,58.516471354760974 
87,1705.967008575402,57.94636966074416,53.41766793217599 
88,1708.0488990168396,53.394084804528745,49.03125791766349 
89,1708.9958992591091,49.131450748318315,47.1595226608092 
90,1708.6801656441223,46.30619224785646,46.776550706684795 
91,1710.310418632986,61.85163414248213,57.76013937705533 
92,1712.2426392358009,57.19049692253393,52.79661931861016 
93,1714.036853018473,52.73002027012398,48.89234814389881 
94,1714.778856931836,48.956052419486305,47.322438212188175 
95,1714.5009487515354,46.4905090537359,46.85322065191097 
96,1716.2267079044518,62.87035740003958,58.50085517300555 
97,1718.3177358628222,58.18433457907099,53.40060139880177 
98,1720.548950504387,53.62427136789102,48.918910510541174 
99,1721.4707483860418,49.30554812781572,47.32055143465009 
100,1721.1200398499732,46.468021221459544,46.9363512900129 
101,1722.6823922901467,61.474827943672935,57.48642571050689 
102,1724.5905445544386,56.84429738690933,52.49475852735062 
103,1726.330628518664,52.35319920468892,48.62852969329246 
104,1726.8082647433628,48.44417642216011,47.292388060966545 
105,1726.4676959965827,46.40994486335849,46.87727187376122 
106,1728.2077395705437,63.48421230046095,59.06016384552811 
107,1730.3320719175365,58.79029609471706,53.92007251975123 
108,1732.655283739444,54.20498672760943,49.30347918604782 
109,1733.884774901161,49.81213153138525,47.26110176114135 
110,1733.6843444175224,46.60567755246128,46.82987183878425 
111,1735.366915927517,61.875794226138495,57.605459830819164 
112,1737.3863388551797,57.23969211536452,52.624484135716386 
113,1739.1981107418374,52.770036743568696,48.86336297664078 
114,1739.7803978264214,48.87951146443052,47.49143698194015 
115,1739.5798680838216,46.73582767541837,46.91964729709316 
116,1741.2433883171475,61.28090874515656,57.10026247929791 
117,1743.255335639426,56.653939701637356,52.100759314234345 
118,1745.0393164944778,52.197669297159315,48.38923589191101 
119,1745.4591605031926,48.4062223879126,47.33937182862294 
120,1745.157050977725,46.52514257563925,46.90178790709821 
