,avg of sum,avg of ana,avg of cata
0,1603.556994,50,52
1,1605.565337,83.81605558,77.35656756
2,1607.911112,78.19526729,71.21069512
3,1610.635508,72.68897499,65.20691487
4,1613.788495,67.3034971,59.35448808
5,1617.38544,62.04545663,53.7546005
6,1622.160855,95.89035051,79.26440575
7,1627.400209,90.06243559,73.08744286
8,1632.677592,84.340464,67.05144914
9,1637.839733,78.72943703,61.16511708
10,1642.879328,73.2344203,55.474062
11,1648.397838,107.339102,81.2936316
12,1653.81696,101.3457763,75.08929999
13,1659.130413,95.45013224,69.02307249
14,1664.331311,89.65629648,63.10319897
15,1669.412148,83.96853305,57.34822769
16,1674.963755,118.3650407,83.48242964
17,1680.418178,112.2303616,77.24826589
18,1685.769415,106.1865787,71.14921373
19,1691.010893,100.2372406,65.19316441
20,1696.135304,94.38600713,59.39095202
21,1701.721607,129.0857771,85.83308606
22,1707.212961,122.8274605,79.56671705
23,1712.603638,116.6543679,73.43243191
24,1717.887379,110.569596,67.43776308
25,1723.057194,104.5763338,61.59098641
26,1728.679475,139.5872113,88.33506182
27,1734.209053,133.2188425,82.03455819
28,1739.640473,126.9308463,75.86309466
29,1744.967784,120.7259565,69.82785049
30,1750.184354,114.6069854,63.93661257
31,1755.843594,149.9343631,90.97726382
32,1761.412375,143.4666595,84.64111178
33,1766.885505,137.0751046,78.43096167
34,1772.257335,130.7621355,72.35364843
35,1777.521579,124.5302558,66.41657552
36,1783.218492,160.1777881,93.74898054
37,1788.827169,153.619401,87.37603999
38,1794.342678,147.1334336,81.12608773
39,1799.759654,140.7220747,75.00562597
40,1805.07215,134.3875711,69.02168808
41,1810.807231,170.3576414,96.64146432
42,1816.456271,163.7156895,90.23089485
43,1822.014584,157.1428266,83.94033965
44,1827.477083,150.6410314,77.77598124
45,1832.838138,144.2123336,71.74449792
46,1838.611711,180.499165,99.64762005
47,1844.3014,173.7796598,93.19882077
48,1849.902753,167.1262424,86.86711279
49,1855.410947,160.5407115,80.65837278
50,1860.820658,154.0249109,74.57893988
51,1866.632909,190.1435491,102.7616756
52,1872.363388,183.3555395,96.27423752
53,1878.007868,176.6310148,89.90102722
54,1883.561774,169.9716171,83.64762969
55,1889.020071,163.379033,77.52006116
56,1894.871076,197.0163643,105.9789204
57,1900.642371,190.1865135,99.45258873
58,1906.329943,183.4184002,93.03768658
59,1911.929453,176.7135451,86.7395216
60,1917.43614,170.0735246,80.56380338
61,1923.325887,199.6251092,109.2954983
62,1929.137934,192.7905335,102.7301421
63,1934.868469,186.0169719,96.27348654
64,1940.513379,179.3058808,89.930576
65,1946.06816,172.6587875,83.70682938
66,1951.996564,199.9818273,112.7082423
67,1957.849225,193.1614846,106.1038305
68,1963.622521,186.4018994,99.60546241
69,1969.312552,179.7045108,93.21793277
70,1974.915054,173.0708328,86.94638539
71,1980.881975,199.99996,116.2145431
72,1986.775054,193.1965304,109.5711253
73,1992.590849,186.4536689,103.0311675
74,1998.325662,179.7728073,96.59922812
75,2003.975455,173.1554516,90.28019088
76,2009.980708,200,119.812244
77,2015.913963,193.2134714,113.1299349
